what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1332222446934
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1332222447440
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1332222447970
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1332222448386
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1332222448513
error,log,,,"Core exception while retrieving the content description",1332222449126
error,log,,,"Core exception while retrieving the content description",1332222449141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332222449152
error,log,,,"Core exception while retrieving the content description",1332222449969
error,log,,,"Core exception while retrieving the content description",1332222449971
error,log,,,"Core exception while retrieving the content description",1332222449974
error,log,,,"Core exception while retrieving the content description",1332222449976
error,log,,,"Core exception while retrieving the content description",1332222449979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332222454371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332222454520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332222454676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332222454832
error,log,,,"Core exception while retrieving the content description",1332222455644
error,log,,,"Core exception while retrieving the content description",1332222455675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332222455683
error,log,,,"Core exception while retrieving the content description",1332222456514
error,log,,,"Core exception while retrieving the content description",1332222456516
error,log,,,"Core exception while retrieving the content description",1332222456522
error,log,,,"Core exception while retrieving the content description",1332222456525
error,log,,,"Core exception while retrieving the content description",1332222456527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332222465441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332222580073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332222586480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332222587036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332222591937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332222596487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332222597129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332222599955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332222619054
